reviewer_id,community_id,community_size,network_degree,degree_centrality,community_size_score,centrality_score,extreme_cluster_bonus,network_suspicion_score
RID_2756974907,0,27,65,0.8024691358024691,50.0,30.0,20,100.0
RID_4959422308,2,24,64,0.7901234567901234,50.0,29.538461538461537,20,99.53846153846153
RID_5719434582,0,27,52,0.6419753086419753,50.0,23.999999999999996,20,94.0
RID_1832639440,0,27,52,0.6419753086419753,50.0,23.999999999999996,20,94.0
RID_2863841277,1,31,51,0.6296296296296295,50.0,23.538461538461533,20,93.53846153846153
RID_3423229253,2,24,49,0.6049382716049383,50.0,22.615384615384613,20,92.61538461538461
RID_7578342184,2,24,45,0.5555555555555556,50.0,20.76923076923077,20,90.76923076923077
RID_4359113246,1,31,44,0.5432098765432098,50.0,20.307692307692307,20,90.3076923076923
RID_4481128150,2,24,42,0.5185185185185185,50.0,19.384615384615383,20,89.38461538461539
RID_5851746707,1,31,40,0.49382716049382713,50.0,18.46153846153846,20,88.46153846153845
RID_8833238085,1,31,39,0.48148148148148145,50.0,18.0,20,88.0
RID_1983502392,1,31,39,0.48148148148148145,50.0,18.0,20,88.0
RID_7344797416,1,31,38,0.4691358024691358,50.0,17.538461538461537,20,87.53846153846153
RID_3333264552,2,24,37,0.4567901234567901,50.0,17.076923076923077,20,87.07692307692308
RID_3297317469,1,31,36,0.4444444444444444,50.0,16.615384615384613,20,86.61538461538461
RID_4537241992,1,31,35,0.43209876543209874,50.0,16.153846153846153,20,86.15384615384616
RID_4540031534,1,31,33,0.4074074074074074,50.0,15.23076923076923,20,85.23076923076923
RID_8922308949,1,31,32,0.3950617283950617,50.0,14.769230769230768,20,84.76923076923077
RID_4347313506,1,31,32,0.3950617283950617,50.0,14.769230769230768,20,84.76923076923077
RID_6762742564,2,24,31,0.38271604938271603,50.0,14.307692307692307,20,84.3076923076923
RID_8676752652,0,27,31,0.38271604938271603,50.0,14.307692307692307,20,84.3076923076923
RID_1502057376,1,31,30,0.37037037037037035,50.0,13.846153846153845,20,83.84615384615384
RID_3654177987,0,27,29,0.35802469135802467,50.0,13.384615384615383,20,83.38461538461539
RID_7594245544,2,24,28,0.345679012345679,50.0,12.923076923076922,20,82.92307692307692
RID_8149951193,1,31,28,0.345679012345679,50.0,12.923076923076922,20,82.92307692307692
RID_8094149825,1,31,27,0.3333333333333333,50.0,12.46153846153846,20,82.46153846153845
RID_9136689280,1,31,27,0.3333333333333333,50.0,12.46153846153846,20,82.46153846153845
RID_3366477452,1,31,27,0.3333333333333333,50.0,12.46153846153846,20,82.46153846153845
RID_8362726325,1,31,22,0.2716049382716049,50.0,10.153846153846153,20,80.15384615384616
RID_9046386188,1,31,22,0.2716049382716049,50.0,10.153846153846153,20,80.15384615384616
RID_7213687779,1,31,22,0.2716049382716049,50.0,10.153846153846153,20,80.15384615384616
RID_3607262942,0,27,20,0.24691358024691357,50.0,9.23076923076923,20,79.23076923076923
RID_8121873893,0,27,20,0.24691358024691357,50.0,9.23076923076923,20,79.23076923076923
RID_3632637577,0,27,19,0.2345679012345679,50.0,8.769230769230768,20,78.76923076923077
RID_8442769779,2,24,19,0.2345679012345679,50.0,8.769230769230768,20,78.76923076923077
RID_3398795667,1,31,19,0.2345679012345679,50.0,8.769230769230768,20,78.76923076923077
RID_2058478309,0,27,18,0.2222222222222222,50.0,8.307692307692307,20,78.3076923076923
RID_1193721058,0,27,18,0.2222222222222222,50.0,8.307692307692307,20,78.3076923076923
RID_8890338471,2,24,17,0.20987654320987653,50.0,7.846153846153845,20,77.84615384615384
RID_4319373127,1,31,16,0.19753086419753085,50.0,7.384615384615384,20,77.38461538461539
RID_8996555376,0,27,16,0.19753086419753085,50.0,7.384615384615384,20,77.38461538461539
RID_6568589413,0,27,16,0.19753086419753085,50.0,7.384615384615384,20,77.38461538461539
RID_7225785268,0,27,14,0.1728395061728395,50.0,6.461538461538461,20,76.46153846153845
